xls,site_name,proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,reference,doi,co2_as_published,proxy_category,category_reason,co2_superseded,co2_recalculated,co2_revised_reason,age_as_published,age_quarantined,age_superseded,age_recalculated,age_revised_reason,modern_latitude,modern_longitude
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,40338,193.29,193.29,1001.93,185.12,162.55,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.2658,-54.5439
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,40933,196,196,918.97,172.19,158.44,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.2658,-54.5439
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,41796,199.91,199.91,790.99,147.07,134.7,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.2658,-54.5439
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,43763,208.82,208.82,1018.58,207.16,181.82,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.2658,-54.5439
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,44825,213.62,213.62,927.04,188.78,148.51,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.2658,-54.5439
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,45701,217.58,217.58,848.1,131.51,123.88,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.2658,-54.5439
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,46571,221.51,221.51,1084.14,190.52,178.38,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.7333
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,47496,225.68,225.68,1420.45,307.89,262.07,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.733
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,48137,228.56,228.56,1907.63,472.23,364.24,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.733
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,49001,232.45,232.45,1754.53,413.6,327.97,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.7333
